time,pos,vel,tau
2.389999999999993019e+00,2.145251299846033355e+00,-3.355616472174804965e+00,2.122194685729690902e-03
2.399999999999992806e+00,2.107820409426120811e+00,-4.132926779753772095e+00,1.843259053178990595e-03
2.409999999999992593e+00,2.062517858280486838e+00,-4.930341696911172633e+00,1.562935060488145414e-03
2.419999999999992379e+00,2.009131837759066119e+00,-5.749866135740091089e+00,1.278355549383160608e-03
2.429999999999992166e+00,1.947435047123695417e+00,-6.592553079374667391e+00,9.864282293538719631e-04
2.439999999999991953e+00,1.877195465101035632e+00,-7.458247101771663168e+00,6.837606588352574538e-04
2.449999999999991740e+00,1.798189851163125352e+00,-8.345295965332741872e+00,3.665566592633041909e-04
2.459999999999991527e+00,1.710220248296020928e+00,-9.250241177193693431e+00,3.047664825200219196e-05
2.469999999999991314e+00,1.613133603628159829e+00,-1.016750815166834343e+01,-3.295427967525011576e-04
2.479999999999991100e+00,1.506844357780531496e+00,-1.108912880494019326e+01,-7.195066263908562500e-04
2.489999999999990887e+00,1.391359681745963028e+00,-1.200449833602588789e+01,-1.143913255124873142e-03
2.499999999999990674e+00,1.266805884885574329e+00,-1.290039485750466852e+01,-1.613487557761375752e-03
2.509999999999990461e+00,1.133454262216468056e+00,-1.376108355297748176e+01,-2.138147193843981629e-03
2.519999999999990248e+00,9.917444368119524567e-01,-1.456872361770775548e+01,-2.729056111417626097e-03
2.529999999999990035e+00,8.423021308897650217e-01,-1.530408139580016424e+01,-3.397897179628201619e-03
2.539999999999989821e+00,6.859482622104255967e-01,-1.594755028183887724e+01,-4.155357800031227178e-03
2.549999999999989608e+00,5.236965386189493810e-01,-1.648041885420123975e+01,-5.008593603535820699e-03
2.559999999999989395e+00,3.560269965294098338e-01,-1.702812406240948206e+01,-1.451066053110925194e-02
2.569999999999989182e+00,1.835913994549726314e-01,-1.743142916556550759e+01,-1.540707992891297319e-02
2.579999999999988969e+00,7.902141918484512084e-03,-1.767761529686120170e+01,-1.616690254861601062e-02
2.589999999999988756e+00,-1.694304855740272620e-01,-1.775998078682647829e+01,-1.677362867722502482e-02
2.599999999999988542e+00,-3.467625812459115275e-01,-1.767855430530392624e+01,-1.721539714590130526e-02
2.609999999999988329e+00,-5.224334036867062103e-01,-1.742988717795167020e+01,-1.686884623900287636e-02
2.619999999999988116e+00,-6.948748187063977788e-01,-1.703574694763246811e+01,-1.687752289155089458e-02
2.629999999999987903e+00,-8.627195938572074230e-01,-1.651428929494783304e+01,-1.674076852174918514e-02
2.639999999999987690e+00,-1.024800228416355541e+00,-1.588701026533726868e+01,-1.647550387435583324e-02
2.649999999999987477e+00,-1.180174424716182724e+00,-1.517716702355019009e+01,-1.611002406374215448e-02
2.659999999999987264e+00,-1.327842745687720649e+00,-1.434990426326374369e+01,-1.216399505048517543e-02
2.669999999999987050e+00,-1.467045172470965886e+00,-1.348761771944962717e+01,-1.176919281175770222e-02
2.679999999999986837e+00,-1.597525535739924285e+00,-1.260861154546507379e+01,-1.125510944399535536e-02
2.689999999999986624e+00,-1.719296896205463998e+00,-1.174835847574668257e+01,-1.184993632742307318e-02
2.699999999999986411e+00,-1.832520180034405755e+00,-1.090100994903912834e+01,-1.127490400701770985e-02
2.709999999999986198e+00,-1.937397916707161549e+00,-1.008074785672885021e+01,-1.092035980113788794e-02
2.719999999999985985e+00,-2.034261868107098969e+00,-9.299297565841335711e+00,-1.081391810996057412e-02
2.729999999999985771e+00,-2.123507979326829442e+00,-8.557849409379707950e+00,-1.047270792321727470e-02
2.739999999999985558e+00,-2.205562056778243019e+00,-7.861248565329048255e+00,-1.023965038015924034e-02
2.749999999999985345e+00,-2.280874242082390868e+00,-7.209586043664078403e+00,-9.928981627256765544e-03
2.759999999999985132e+00,-2.349897489136552498e+00,-6.603388834642507810e+00,-9.643960278356919144e-03
2.769999999999984919e+00,-2.413081601083716166e+00,-6.041549724463326498e+00,-9.344573495474026506e-03
